INSERT INTO `alumno` VALUES ('20150001', 'Almaraz', 'Remigio', 'Manuel Alejandro', 'Ma Elena', 'priv macadamia', 'Huehuetoca', 54689, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150295', 'HOY', 'CORT', 'JAIME', 'GLADYS', 'Privada 255', 'Tultitlan', 50059, '548457655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150296', 'HOYOS', 'ECHEVERRI', 'ALBERTO', 'CLARET', 'Privada 256', 'Cuatitlan', 48271, '544458655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150297', 'HOYOS', 'HOYOS', 'JAIRO', 'LILY', 'Privada 257', 'Naucalpan', 46483, '540459655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150298', 'HUNG', 'DUQUE', 'OTTO', 'ANDR', 'Privada 258', 'Huehuetoca', 44695, '536460655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150299', 'HURTADO', 'ESCOBAR', 'LU', 'LU', 'Privada 259', 'Coacalco', 42907, '532461655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150300', 'HURTADO', 'PATI', 'JUAN', 'WILLIAM', 'Privada 260', 'Tultitlan', 41119, '528462655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150301', 'INFANTE', 'MONCALEANO', 'ROBERTO', 'INGRID', 'Privada 261', 'Cuatitlan', 39331, '524463655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150302', 'JACOME', 'MONTEALEGRE', 'CRISTINA', 'MARTIN', 'Privada 262', 'Naucalpan', 37543, '520464655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150303', 'JADAD', 'BECHARA', 'ALEJANDRO', 'JHON', 'Privada 263', 'Huehuetoca', 35755, '516465655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150304', 'JARA', 'ACU', 'LUZ', 'NATALIA', 'Privada 264', 'Coacalco', 33967, '512466655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150305', 'JARAMILLO', 'CORREA', 'CLAUDIA', 'ALEX', 'Privada 265', 'Tultitlan', 32179, '508467655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150306', 'JARAMILLO', 'PACH', 'JOS', 'LUZ', 'Privada 266', 'Cuatitlan', 30391, '504468655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150307', 'JIM', 'ARIAS', 'JOS', 'MAR', 'Privada 267', 'Huehuetoca', 28603, '500469655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150308', 'JIM', 'BORJA', 'ENRIQUE', 'EMMA', 'Privada 268', 'Coacalco', 26815, '496470655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150309', 'GONZ', 'ACOSTA', 'ANDREA', 'WILLIAM', 'Privada 269', 'Tultitlan', 25027, '492471655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150310', 'GONZ', 'AGUADO', 'GUSTAVO', 'RAFAEL', 'Privada 270', 'Cuatitlan', 23239, '488472655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150311', 'GONZ', 'CASTILLO', 'LU', 'MAR', 'Privada 271', 'Naucalpan', 21451, '559120989', '559120989', '15/16');
INSERT INTO `alumno` VALUES ('20150312', 'GONZ', 'DE', 'MARIN', 'CARLOS', 'Privada 272', 'Huehuetoca', 19663, '559122989', '559122989', '15/16');
INSERT INTO `alumno` VALUES ('20150313', 'GONZ', 'DUQUE', 'JOHON', 'GRACIELA', 'Privada 273', 'Coacalco', 17875, '551122989', '551122989', '15/16');
INSERT INTO `alumno` VALUES ('20150314', 'GONZ', 'MESA', 'ANA', 'FERDINANDO', 'Privada 274', 'Tultitlan', 16087, '548457655.7', '548457655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150315', 'GONZ', 'MU', 'CESAR', 'D', 'Privada 275', 'Cuatitlan', 54122, '544458655.7', '544458655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150316', 'GONZ', 'ORTIZ', 'LU', 'REMIGIO', 'Privada 276', 'Naucalpan', 5199, '540459655.7', '540459655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150317', 'GONZ', 'PACHECO', 'JOS', 'MAR', 'Privada 277', 'Huehuetoca', 58999, '536460655.7', '536460655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150318', 'GONZ', 'PAREDES', 'ALONSO', 'MARCELA', 'Privada 278', 'Coacalco', 57211, '532461655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150319', 'GONZ', 'P', 'MARGARITA', 'MAR', 'Privada 279', 'Tultitlan', 55423, '528462655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150320', 'GONZ', 'P', 'JUAN', 'INGRID', 'Privada 280', 'Cuatitlan', 53635, '524463655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150321', 'GONZ', 'P', 'JAIME', 'SAULO', 'Privada 281', 'Naucalpan', 51847, '520464655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150322', 'GONZ', 'REND', 'LAURA', 'SUCCAR', 'Privada 282', 'Huehuetoca', 50059, '516465655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150323', 'GONZ', 'TABARES', 'DAVID', 'JORGE', 'Privada 283', 'Coacalco', 48271, '512466655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150324', 'GONZALIA', 'D', 'NORMAN', 'IVAN', 'Privada 284', 'Tultitlan', 46483, '508467655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150325', 'GRAJALES', 'L', 'WILMAR', 'FABIO', 'Privada 285', 'Cuatitlan', 44695, '504468655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150326', 'GRISALES', 'DUQUE', 'JHOAN', 'NESTOR', 'Privada 286', 'Huehuetoca', 54122, '500469655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150327', 'GRUESO', 'LARGACHA', 'ANA', 'DIANA', 'Privada 287', 'Coacalco', 5199, '496470655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150328', 'GUERRERO', 'S', 'ANA', 'AMILY', 'Privada 288', 'Tultitlan', 58999, '492471655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150329', 'GUEVARA', 'D', 'TATIANA', 'SANDRA', 'Privada 289', 'Cuatitlan', 57211, '488472655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150330', 'GUEVARA', 'GARC', 'REINALDO', 'MAR', 'Privada 290', 'Naucalpan', 55423, '484473655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150331', 'GUTI', 'CARVAJAL', 'XIMENA', 'ELIZABETH', 'Privada 291', 'Huehuetoca', 53635, '480474655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150332', 'GUTI', 'HOLGUIN', 'CARLOS', 'GLADYS', 'Privada 292', 'Coacalco', 51847, '476475655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150333', 'GUTI', 'USUGA', 'MAR', 'MART', 'Privada 293', 'Tultitlan', 50059, '472476655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150334', 'GUZM', 'GONZ', 'JOS', 'MAR', 'Privada 294', 'Cuatitlan', 48271, '468477655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150335', 'GUZM', 'S', 'MAXIMINO', 'MAR', 'Privada 295', 'Naucalpan', 46483, '464478655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150336', 'HAWKINS', 'ARIZA', 'WENDY', 'MARTHA', 'Privada 296', 'Huehuetoca', 44695, '460479655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150337', 'HENAO', 'D', 'IRENE', 'MANUEL', 'Privada 297', 'Coacalco', 42907, '456480655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150338', 'GAVIRIA', 'GUALTEROS', 'ANDREA', 'CARLOS', 'Privada 298', 'Tultitlan', 41119, '452481655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150339', 'GIL', 'ARANGO', 'GUSTAVO', 'EPS', 'Privada 299', 'Cuatitlan', 39331, '448482655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150340', 'GIL', 'RIANO', 'JUAN', 'CARLOS', 'Privada 300', 'Naucalpan', 37543, '444483655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150341', 'GIL', 'ROMAN', 'ALVARO', 'SERGIO', 'Privada 301', 'Huehuetoca', 35755, '440484655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150342', 'GIRALDO', 'G', 'NATALIA', 'GLORIA', 'Privada 302', 'Coacalco', 33967, '436485655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150343', 'GIRALDO', 'MEJ', 'LUZ', 'JUAN', 'Privada 303', 'Tultitlan', 32179, '432486655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150344', 'GIRALDO', 'OROZCO', 'LUZ', 'NICOLE', 'Privada 304', 'Cuatitlan', 30391, '428487655.7', '428487655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150345', 'GIRALDO', 'PRIETO', 'JANAINA', 'JUSTO', 'Privada 305', 'Huehuetoca', 28603, '424488655.7', '424488655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150346', 'GIRALDO', 'TOB', 'ORLANDO', 'YOLANDA', 'Privada 306', 'Coacalco', 26815, '420489655.7', '420489655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150347', 'GIRALDO', 'YAYGUAJE', 'KAREM', 'LU', 'Privada 307', 'Tultitlan', 25027, '416490655.7', '416490655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150348', 'GIRON', 'GLORIA', 'LUC', 'MARGARITA', 'Privada 308', 'Cuatitlan', 23239, '412491655.7', '412491655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150349', 'G', 'CABREJO', 'JUAN', 'ANA', 'Privada 309', 'Naucalpan', 21451, '408492655.7', '408492655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150350', 'G', 'CASAS', 'CARLOS', 'CESAR', 'Privada 310', 'Huehuetoca', 19663, '404493655.7', '404493655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150351', 'G', 'FREY', 'RODOLFO', 'JORGE', 'Privada 311', 'Coacalco', 17875, '400494655.7', '400494655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150352', 'G', 'GIRALDO', 'DANIEL', 'MARTHA', 'Privada 312', 'Tultitlan', 16087, '396495655.7', '396495655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150353', 'G', 'GIRALDO', 'SEBASTI', 'ALICIA', 'Privada 313', 'Cuatitlan', 14299, '392496655.7', '392496655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150354', 'G', 'G', 'LUISA', 'CARLOS', 'Privada 314', 'Naucalpan', 12511, '388497655.7', '388497655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150355', 'G', 'GUALDRONWENDELL', 'FRANZ', 'ADRIANA', 'Privada 315', 'Huehuetoca', 10723, '384498655.7', '384498655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150356', 'G', 'HERNANDEZ', 'JAIRO', 'CLARA', 'Privada 316', 'Coacalco', 58999, '380499655.7', '380499655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150357', 'G', 'HERRERA', 'MAR', 'BORIS', 'Privada 317', 'Tultitlan', 57211, '376500655.7', '376500655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150358', 'G', 'INFANTE', 'TIODOLFO', 'JOS', 'Privada 318', 'Cuatitlan', 55423, '372501655.7', '372501655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150359', 'G', 'LOPERA', 'BLANCA', 'JULIO', 'Privada 319', 'Naucalpan', 53635, '368502655.7', '368502655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150360', 'G', 'L', 'DORA', 'ADOLFO', 'Privada 320', 'Huehuetoca', 51847, '364503655.7', '364503655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150361', 'G', 'MOLINA', 'JAIME', 'SANDRA', 'Privada 321', 'Coacalco', 50059, '360504655.7', '360504655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150362', 'G', 'MUNETON', 'JUAN', 'ADRIANA', 'Privada 322', 'Tultitlan', 48271, '356505655.7', '356505655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150363', 'G', 'POSADA', 'CAMILO', 'ELIZABETH', 'Privada 323', 'Cuatitlan', 46483, '352506655.7', '352506655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150364', 'G', 'RINC', 'MADELEYNE', '', 'Privada 324', 'Huehuetoca', 44695, '348507655.7', '348507655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150365', 'G', 'SILVA', 'CATHERINE', 'ALEJANDRO', 'Privada 325', 'Coacalco', 42907, '344508655.7', '344508655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150366', 'G', 'TORRES', 'NORELA', 'GUSTAVO', 'Privada 326', 'Tultitlan', 41119, '340509655.7', '340509655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150367', 'FRANCO', 'VALENCIA', 'RAUL', 'MAR', 'Privada 327', 'Cuatitlan', 39331, '336510655.7', '336510655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150368', 'GALINDO', 'CUERVO', 'PAOLA', 'MARGARITA', 'Privada 328', 'Naucalpan', 37543, '332511655.7', '332511655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150369', 'GALLEGO', 'G', 'CARLOS', 'LIDIA', 'Privada 329', 'Huehuetoca', 35755, '328512655.7', '328512655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150370', 'GALLEGO', 'NARANJO', 'LINA', 'JAIRO', 'Privada 330', 'Coacalco', 33967, '324513655.7', '324513655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150371', 'GALLEGO', 'NARANJO', 'ELIANA', 'LUZ', 'Privada 331', 'Tultitlan', 32179, '320514655.7', '320514655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150372', 'GALLEGO', 'VALDES', 'BRIAN', 'ENRIQUE', 'Privada 332', 'Cuatitlan', 30391, '316515655.7', '316515655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150373', 'GALVIS', 'LIZARAZO', 'LINDA', 'JORGE', 'Privada 333', 'Naucalpan', 28603, '312516655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150374', 'GAMBOA', 'ARCINIEGAS', 'GIMY', 'MARTA', 'Privada 334', 'Huehuetoca', 42907, '308517655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150375', 'GAONA', 'PEREA', 'ELIANA', 'JANNETH', 'Privada 335', 'Coacalco', 41119, '304518655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150376', 'GAONA', 'PEREA', 'SONIA', 'RICARDO', 'Privada 336', 'Tultitlan', 39331, '300519655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150377', 'GARCES', 'MEJ', 'SANDRA', 'RIGOBERTO', 'Privada 337', 'Cuatitlan', 37543, '296520655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150378', 'GARCES', 'MESA', 'GUILLERMO', 'JORGE', 'Privada 338', 'Naucalpan', 35755, '292521655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150379', 'GARC', 'AVENDANO', 'ROBERTO', 'ANGELA', 'Privada 339', 'Huehuetoca', 33967, '288522655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150380', 'GARC', 'AVENDANO', 'RODRIGO', 'ANA', 'Privada 340', 'Coacalco', 32179, '284523655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150381', 'GARC', 'CARDONA', 'MATILDE', 'LEONARDO', 'Privada 341', 'Tultitlan', 30391, '280524655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150382', 'GARC', 'DE', 'HINCAPI', 'LEYSI', 'Privada 342', 'Cuatitlan', 28603, '276525655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150383', 'GARC', 'DE', 'TIMARAN', 'CARLOS', 'Privada 343', 'Huehuetoca', 26815, '272526655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150384', 'GARC', 'G', 'ADRIANA', 'RAMON', 'Privada 344', 'Coacalco', 25027, '268527655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150385', 'GARC', 'L', 'JORGE', 'KAROL', 'Privada 345', 'Tultitlan', 23239, '264528655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150386', 'GARC', 'ORDONEZ', 'JAVIER', 'VESBAVER', 'Privada 346', 'Cuatitlan', 21451, '260529655.7', '260529655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150387', 'GARC', 'ORTIZ', 'JOS', 'GLORIA', 'Privada 347', 'Naucalpan', 19663, '256530655.7', '256530655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150388', 'GARC', 'PEDROZO', 'CLAUDIA', 'HECTOR', 'Privada 348', 'Huehuetoca', 17875, '252531655.7', '252531655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150389', 'GARC', 'PORRAS', 'HECTOR', 'JAVIER', 'Privada 349', 'Coacalco', 16087, '248532655.7', '248532655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150390', 'GARC', 'RODR', 'JUAN', 'DIEGO', 'Privada 350', 'Tultitlan', 50059, '244533655.7', '244533655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150391', 'GARC', 'RUIZ', 'LUZ', 'DIEGO', 'Privada 351', 'Cuatitlan', 48271, '240534655.7', '240534655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150392', 'GARC', 'S', 'YIMY', 'WILLIAM', 'Privada 352', 'Naucalpan', 46483, '236535655.7', '236535655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150393', 'GARC', 'ULLOA', 'MANUEL', 'YOLERCY', 'Privada 353', 'Huehuetoca', 44695, '232536655.7', '232536655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150394', 'GARC', 'ZAMBRANO', 'JOS', 'BONILLA', 'Privada 354', 'Coacalco', 42907, '228537655.7', '228537655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150395', 'GARZ', 'ALVARADO', 'JUAN', 'MONICA', 'Privada 355', 'Tultitlan', 41119, '224538655.7', '224538655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150396', 'MART', 'HUILCA,', 'EDGAR', 'MARITZA', 'Privada 356', 'Cuatitlan', 39331, '220539655.7', '220539655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150397', '', 'MEDINA,', 'MAR', 'RICAURTE', 'Privada 357', 'Naucalpan', 37543, '216540655.7', '216540655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150398', 'ARBEL', 'VELEZ,', 'ANGE', 'MARTIN', 'Privada 358', 'Huehuetoca', 35755, '212541655.7', '212541655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150399', 'CUARTAS', 'CHINAG,', 'ERIKA', 'PERPETUA', 'Privada 359', 'Coacalco', 33967, '208542655.7', '208542655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150400', 'DE', 'QUISPE,', 'MIGUEL', 'ALBA', 'Privada 360', 'Tultitlan', 32179, '204543655.7', '204543655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150401', 'GARC', 'CARBAJAL,', 'LU', 'SOL', 'Privada 361', 'Cuatitlan', 30391, '200544655.7', '200544655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150402', 'RESTREPO', 'MARTINEZ,', 'LILIANA', 'ALBERTO', 'Privada 362', 'Huehuetoca', 28603, '196545655.7', '196545655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150403', 'ZAPATA', 'FLORES,', 'GUSTAVO', 'CARLOS', 'Privada 363', 'Coacalco', 26815, '192546655.7', '192546655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150404', 'GARC', 'RAYGADA,', 'MIGUEL', 'NANCY', 'Privada 364', 'Tultitlan', 25027, '188547655.7', '188547655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150405', 'GARC', 'QUISPE,', 'LUZ', 'GERMAN', 'Privada 365', 'Cuatitlan', 23239, '184548655.7', '184548655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150406', 'HURTADO', 'SAU', 'LU', 'NESTOR', 'Privada 366', 'Naucalpan', 21451, '180549655.7', '180549655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150407', 'L', 'ROSA', 'BEATRIZ', 'JAVIER', 'Privada 367', 'Huehuetoca', 19663, '176550655.7', '176550655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150408', 'OLARTE', 'GINOCCHIO,', 'CLAUDIA', 'MARTA', 'Privada 368', 'Coacalco', 17875, '172551655.7', '172551655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150409', 'QUINTERO', 'TAFUR,', 'MAR', 'DIANA', 'Privada 369', 'Tultitlan', 16087, '168552655.7', '168552655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150410', 'SANCLEMENTE', 'NU', 'ANA', 'MARLON', 'Privada 370', 'Cuatitlan', 54122, '164553655.7', '164553655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150411', 'PLAZAS', 'VENEGAS,', 'EUCARIS', 'ANGELICA', 'Privada 371', 'Naucalpan', 5199, '160554655.7', '160554655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150412', 'MEDINA', 'SAN', 'GERMAN', 'JUAN', 'Privada 372', 'Huehuetoca', 58999, '156555655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150413', 'MEJ', 'QUISPE,', 'ANGELICA', 'GERARDO', 'Privada 373', 'Coacalco', 57211, '152556655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150414', 'LU', 'TINCO,', 'JUAN', 'GUSTAVO', 'Privada 374', 'Tultitlan', 55423, '148557655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150415', 'BLANCO', 'CELESTINO,', 'RUGGIERO', 'BIBIANA', 'Privada 375', 'Cuatitlan', 53635, '144558655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150416', 'BUITRAGO', 'UCHASARA,', 'MAR', 'MARIUXIS', 'Privada 376', 'Naucalpan', 51847, '140559655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150417', 'DE', 'NAVARRO,', 'EDNA', 'MAR', 'Privada 377', 'Huehuetoca', 50059, '136560655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150418', 'PANIAGUA', 'MARQUEZ,', 'ADRIANA', 'RAMON', 'Privada 378', 'Coacalco', 48271, '132561655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150419', 'ROMERO', 'ZUTA,', 'RICARDO', 'GLORIA', 'Privada 379', 'Tultitlan', 46483, '128562655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150420', 'BAPTISTE', 'VIBES,', 'JAIME', 'CRISTIAN', 'Privada 380', 'Cuatitlan', 44695, '124563655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150421', 'CUBILLOS', 'HOLGADO,', 'LU', 'ALEXANDAR', 'Privada 381', 'Huehuetoca', 54122, '120564655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150422', 'DE', 'RAMIREZ,', 'BEATRIZ', 'ANA', 'Privada 382', 'Coacalco', 5199, '116565655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150423', 'MONTOYA', 'HUAYANAY,', 'JULIAN', 'SANDRA', 'Privada 383', 'Tultitlan', 58999, '112566655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150424', 'RIVEROS', 'REYES,', 'ANTONIO', 'CATALINA', 'Privada 384', 'Cuatitlan', 57211, '108567655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150425', 'VEGA', 'ORTIZ,', 'SANDRA', 'OLGA', 'Privada 385', 'Naucalpan', 55423, '104568655.7', '104568655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150426', 'SERNA', 'ORTIZ,', 'LU', 'ROSA', 'Privada 386', 'Huehuetoca', 53635, '100569655.7', '100569655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150427', 'CORT', 'CAMACHO,', 'ARMANDO', 'ISABEL', 'Privada 387', 'Coacalco', 51847, '559120989', '559120989', '15/16');
INSERT INTO `alumno` VALUES ('20150428', 'ECHEVERRI', 'JARAMILLO,', 'SILVA', 'LETTY', 'Privada 388', 'Tultitlan', 50059, '559122989', '559122989', '15/16');
INSERT INTO `alumno` VALUES ('20150429', 'HOYOS', 'PORRAS,', 'VALERIA', 'MARTHA', 'Privada 389', 'Cuatitlan', 48271, '551122989', '551122989', '15/16');
INSERT INTO `alumno` VALUES ('20150430', 'DUQUE', 'NU', 'STUARTH', 'EDNA', 'Privada 390', 'Naucalpan', 46483, '548457655.7', '548457655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150431', 'ESCOBAR', 'VILCHEZ,', 'GONZ', 'LUZ', 'Privada 391', 'Huehuetoca', 44695, '544458655.7', '544458655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150432', 'PATI', 'CALLE,', 'OLGA', 'LILIANA', 'Privada 392', 'Coacalco', 42907, '540459655.7', '540459655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150433', 'MONCALEANO', 'LIMA,', 'PABLO', 'CUERVO', 'Privada 393', 'Tultitlan', 41119, '536460655.7', '536460655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150434', 'MONTEALEGRE', 'LIMA,', 'JUAN', 'NELSON', 'Privada 394', 'Cuatitlan', 39331, '532461655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150435', 'BECHARA', 'MIRANDA,', 'ANA', 'JOS', 'Privada 395', 'Naucalpan', 37543, '528462655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150436', 'ACU', 'YANAC,', 'ANDR', 'LIZ', 'Privada 396', 'Huehuetoca', 35755, '524463655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150437', 'CORREA', 'VALVERDE,', 'WILFRAN', 'YANED', 'Privada 397', 'Coacalco', 33967, '520464655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150438', 'PACH', 'FARIAS,', 'ISABEL', 'JESUS', 'Privada 398', 'Tultitlan', 32179, '516465655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150439', 'ARIAS', 'VALDIVIA,', 'OSCAR', 'WILSON', 'Privada 399', 'Cuatitlan', 30391, '512466655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150440', 'BORJA', 'GOMEZ', 'HECTOR', 'EDGAR', 'Privada 400', 'Huehuetoca', 28603, '508467655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150441', 'ACOSTA', 'FLORES,', 'ARMANDO', 'MAR', 'Privada 401', 'Coacalco', 26815, '504468655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150442', 'AGUADO', 'BONIFAZ,', 'WILSON', 'ANGE', 'Privada 402', 'Tultitlan', 25027, '500469655.7', '500469655.7', '15/16');
